reference,sex_binary,aims_ancestry,aims_heterozygosity,tarsus.length,tail.length,wing.cord,kipps,distal,p10,bodyCondition,releaseDay,fall_detectDay1,fall_bearing1,t5_spring40
BH28H06,1,0.1669034091,0.3025568182,27.7,68,91,27.9,58.9,14,0.9927797834,240,256,84.1399332,0
BH28H07,0,0.8287721893,0.3291420118,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,0
BH28H08,1,0.3356824926,0.5289317507,29,67,93,26.8,58.1,15,1.037931034,240,265,137.9838,0
BH30H07,1,0.2676005747,0.4619252874,28.8,70,95,31.5,59.6,15,1.055555556,242,254,137.9838,0
BH31H01,1,0.2846094354,0.524361949,27.7,69,100,33.1,60.9,16,1.072202166,243,260,130.8885936,0
BH31H02,1,0.6548703574,0.5781359495,29.5,70,96,30.6,57.7,16,1.013559322,243,NA,NA,0
BH31H03,0,0.5264136905,0.9263392857,28.4,71,92,28.2,54.4,16,1.063380282,243,254,189.3982671,1
BH31H04,1,0.4526542324,0.8823529412,28.4,72,94,29.1,59.1,15,1.014084507,243,259,191.8735431,0
BH31H05,1,0.722310757,0.5346613546,27.9,68,97,30,59.9,15,1.129032258,243,251,189.3982671,0
BH31H06,0,0.4792709078,0.4653323803,27.3,70,96,28.5,58.9,14,1.076923077,243,NA,NA,0
BH31H07,1,0.3204565408,0.6268656716,27.3,72,98,29.8,59.5,15,1.106227106,243,261,95.9694439,1
BH31H08,1,0.4676634214,0.6182197497,29.7,73,96,30.8,60.2,15,1.070707071,243,270,84.1399332,0
BH31H09,1,0.4279086367,0.4175588865,29.4,67,97,31.7,61.8,14,1.013605442,243,NA,NA,0
BH31H10,0,0.1437104708,0.1791988756,27.3,68,97,30.9,60,16,1.131868132,243,NA,NA,0
BH31H11,1,0.04237288136,0.0593220339,26,68,95,27.8,58.3,15,1.203846154,243,NA,NA,0
BH31H12,1,0.3758967001,0.668579627,31,74,100,28.7,64.8,16,1.119354839,243,261,120.5847585,0
BH31H13,1,0.1124301676,0.1368715084,27.3,72,97,29.8,56.8,18,1.098901099,243,NA,NA,0
BI01H01,1,0.325036075,0.398989899,29.5,70,97,31.4,58.5,14,1.010169492,244,271,174.4921726,1
BI01H02,1,0.06703296703,0.1267399267,29,69,96,31.4,57.8,18,1.024137931,244,262,174.4921726,1
BI01H03,1,0.3061863743,0.4886452623,29.3,70,98,28.5,62.3,15,1.04778157,244,260,188.3528213,1
BI01H04,1,0.07465900933,0.1234745154,28,78,96,30,58.4,16,1.096428571,244,265,105.0084614,0
BI01H05,1,0.05740072202,0.08014440433,28.5,73,101,33.4,63.6,16,1.066666667,244,NA,NA,0
BI01H06,1,0.4988954345,0.7488954345,29.2,74,100,32.8,56,20,1.119863014,244,267,149.4931186,0
BI01H07,1,0.1232368226,0.2227171492,27.8,72,100,31.5,60.9,16,1.086330935,244,260,130.8885936,0
BI01H08,1,0.3867521368,0.3703703704,29,68,97,31,58.4,15,1.079310345,244,261,137.9838,0
BI01H09,1,0.3591785415,0.4132439229,28.7,67,94,28.6,58.4,14,1.069686411,244,NA,NA,0
