reference,aims_ancestry,aims_heterozygosity,tarsus.length,weight,tail.length,wing.cord,kipps,distal,carpal,p7,p8,p9,p10,bodyCondition,releaseDay,fall_detectDay1,fall_bearing1,range_norm_tarsus.length,range_norm_weight,range_norm_tail.length,range_norm_wing.cord,range_norm_kipps,range_norm_distal,range_norm_carpal,range_norm_p7,range_norm_p8,range_norm_p9,range_norm_p10,range_norm_releaseDay,range_norm_fall_detectDay1,range_norm_fall_bearing1,range_norm_bodyCondition,t5_spring40
AI01H07,0.2784704904,0.4788029925,28,32,73,99,33.3,NA,NA,NA,NA,73,NA,1.142857143,243,268,174.4921726,0.5161290323,0.6149425287,0.7058823529,0.6470588235,0.8454545455,NA,NA,NA,NA,0.6111111111,NA,0.652173913,0.7,0.7317035141,0.5714795082,0
AI01H08,0.130484115,0.2004538578,27.7,32.8,66,96,29.8,NA,NA,NA,NA,71,NA,1.184115523,243,NA,NA,0.4677419355,0.6609195402,0.2941176471,0.4705882353,0.5272727273,NA,NA,NA,NA,0.5,NA,0.652173913,NA,NA,0.6416449407,0
AI01H09,0.7667883212,0.4474452555,25.8,28.1,67,95,26.9,NA,NA,NA,NA,64,NA,1.089147287,243,NA,NA,0.1612903226,0.3908045977,0.3529411765,0.4117647059,0.2636363636,NA,NA,NA,NA,0.1111111111,NA,0.652173913,NA,NA,0.4801386648,0
AI01H10,0.2196745562,0.3890532544,27.1,27.8,68,100,33.2,NA,NA,NA,NA,70,NA,1.025830258,243,261,95.9694439,0.3709677419,0.3735632184,0.4117647059,0.7058823529,0.8363636364,NA,NA,NA,NA,0.4444444444,NA,0.652173913,0.525,0.1789882383,0.3724595308,0
AI01H11,0.5222614841,0.6190812721,27.6,28.2,71,95,25.8,NA,NA,NA,NA,72,NA,1.02173913,243,NA,NA,0.4516129032,0.3965517241,0.5882352941,0.4117647059,0.1636363636,NA,NA,NA,NA,0.5555555556,NA,0.652173913,NA,NA,0.3655020169,0
AI01H12,0.1086182336,0.1531339031,25.4,27.3,72,95,29.5,NA,NA,NA,NA,68,NA,1.07480315,243,259,95.9694439,0.09677419355,0.3448275862,0.6470588235,0.4117647059,0.5,NA,NA,NA,NA,0.3333333333,NA,0.652173913,0.475,0.1789882383,0.4557445277,0
AI01H13,0.2524928775,0.3625356125,27.1,27.9,68,93,28.4,NA,NA,NA,NA,67,NA,1.029520295,243,NA,NA,0.3709677419,0.3793103448,0.4117647059,0.2941176471,0.4,NA,NA,NA,NA,0.2777777778,NA,0.652173913,NA,NA,0.3787349355,0
AI01H14,0.4309256662,0.5617110799,25.3,30.1,65,93,28.8,NA,NA,NA,NA,63,NA,1.18972332,243,NA,NA,0.08064516129,0.5057471264,0.2352941176,0.2941176471,0.4363636364,NA,NA,NA,NA,0.05555555556,NA,0.652173913,NA,NA,0.6511817542,1
AI01H15,0.1106259098,0.1979621543,26.6,32.7,66,90,27.5,NA,NA,NA,NA,67,NA,1.229323308,243,255,130.8885936,0.2903225806,0.6551724138,0.2941176471,0.1176470588,0.3181818182,NA,NA,NA,NA,0.2777777778,NA,0.652173913,0.375,0.4247813711,0.718526867,1
AI01H16,0.2591925018,0.1593366979,28,28.5,69,96,30.5,NA,NA,NA,NA,72,NA,1.017857143,243,259,130.8885936,0.5161290323,0.4137931034,0.4705882353,0.4705882353,0.5909090909,NA,NA,NA,NA,0.5555555556,NA,0.652173913,0.475,0.4247813711,0.3589001742,0
AI01H17,0.1121933622,0.1724386724,26.2,26.3,64,92,31,NA,NA,NA,NA,67,NA,1.003816794,243,NA,NA,0.2258064516,0.2873563218,0.1764705882,0.2352941176,0.6363636364,NA,NA,NA,NA,0.2777777778,NA,0.652173913,NA,NA,0.33502267,0
AI02H01,0.6630886427,0.5782548476,29.7,32,73,100,32.1,NA,NA,NA,NA,71,NA,1.077441077,244,NA,NA,0.7903225806,0.6149425287,0.7058823529,0.7058823529,0.7363636364,NA,NA,NA,NA,0.5,NA,0.6956521739,NA,NA,0.4602306792,0
AI02H03,0.1712034384,0.2693409742,28.5,30.2,66,98,31.4,NA,NA,NA,NA,71,NA,1.059649123,244,264,130.8885936,0.5967741935,0.5114942529,0.2941176471,0.5882352941,0.6727272727,NA,NA,NA,NA,0.5,NA,0.6956521739,0.6,0.4247813711,0.4299730643,0
AI02H04,0.09401408451,0.1330985915,27.2,28.5,66,97,31.4,NA,NA,NA,NA,73,NA,1.047794118,244,NA,NA,0.3870967742,0.4137931034,0.2941176471,0.5294117647,0.6727272727,NA,NA,NA,NA,0.6111111111,NA,0.6956521739,NA,NA,0.4098120315,0
AI02H05,0.1490552834,0.2015395381,25.7,28.4,66,90,28.1,NA,NA,NA,NA,66,NA,1.105058366,244,262,137.9838,0.1451612903,0.408045977,0.2941176471,0.1176470588,0.3727272727,NA,NA,NA,NA,0.2222222222,NA,0.6956521739,0.55,0.4747239672,0.5071975973,0
