reference,sex_binary,range_norm_tarsus.length,range_norm_tail.length,range_norm_wing.cord,range_norm_kipps,range_norm_distal,range_norm_p10,range_norm_releaseDay,range_norm_fall_detectDay1,range_norm_fall_bearing1,range_norm_bodyCondition,t5_spring40
EH28H16,1,0.5322580645,0.4705882353,0.4705882353,0.5454545455,0.5704225352,0.625,0.4782608696,NA,NA,0.5282503604,0
EH28H17,1,0.5161290323,0.5294117647,0.4117647059,0.5454545455,0.7887323944,0,0.4782608696,NA,NA,0.4135634315,0
EH28H19,0,0.9838709677,0.5882352941,0.4117647059,0.4909090909,0.6056338028,0.375,0.4782608696,0.55,0.8540496063,0.4441088115,0
EH28H20,1,0.9677419355,0.6470588235,0.6470588235,0.6,0.7042253521,0.625,0.4782608696,0.4,0.1789882383,0.3119670745,0
EH28H21,1,0.6774193548,0.5882352941,0.2352941176,0.4454545455,0.4154929577,0.375,0.4782608696,0.475,0.8658867312,0.4282240752,0
EH28H22,0,0.4193548387,0.4705882353,0.1176470588,0.3272727273,0.4577464789,0.25,0.4782608696,0.45,1,0.4526656156,0
EH28H23,0,0.2419354839,0.05882352941,0,0.3545454545,0.2887323944,0.25,0.4782608696,NA,NA,0.2444699081,0
EH28H24,1,0.6612903226,0.8823529412,0.7058823529,0.6272727273,0.7112676056,0.625,0.4782608696,NA,NA,0.5756827575,0
EH28H25,1,0.5161290323,0.2941176471,0.1176470588,0.2,0.4577464789,0,0.4782608696,0.275,0.8658867312,0.3042369169,0
EH28H26,1,0.6612903226,0.4117647059,0.4117647059,0.3,0.5774647887,0.25,0.4782608696,0.4,0.3012355652,0.4285690315,0
EH28H27,0,0.2096774194,0.5294117647,0.1764705882,0.3454545455,0.3521126761,0.5,0.4782608696,NA,NA,0.4523326893,1
EH28H28,0,0.03225806452,0.2352941176,0.1176470588,0.1909090909,0.2605633803,0.5,0.4782608696,0.425,0.3012355652,0.5190027811,0
EH28H29,1,0.5,0.4117647059,0.5882352941,0.7181818182,0.5563380282,0.5,0.4782608696,0.425,0.5557371506,0.7247369082,0
EH28H30,1,0.6612903226,0.5882352941,0.5882352941,0.6272727273,0.4366197183,0.625,0.4782608696,0.55,0.4747239672,0.505068169,0
EH28H32,1,0.5806451613,0.4705882353,0.5882352941,0.6090909091,0.7253521127,0.5,0.4782608696,0.425,0.3160691026,0.400389501,0
